날짜,종가,시가,고가,저가,거래량,변동률,RSI_14,MACD,신호선,MA5,MA20,MA60
2026-05-21,"7,815.59","7,486.37","7,819.23","7,486.37",616.36M,8.42%,,0.0,0.0,,,
2026-05-20,"7,208.95","7,324.52","7,324.52","7,053.84",492.49M,-0.86%,,-48.39293447293494,-9.678586894586989,,,
2026-05-19,"7,271.66","7,425.66","7,446.57","7,141.91",533.51M,-3.25%,,-80.75363316856237,-23.89359614938207,,,
2026-05-18,"7,516.04","7,443.29","7,636.20","7,142.71",566.62M,0.31%,,-85.69248675438394,-36.253374270382444,,,
2026-05-15,"7,493.18","7,951.75","8,046.78","7,371.68",885.63M,-6.12%,,-90.40899612499288,-47.084498641304535,7461.084,,
2026-05-14,"7,981.41","7,873.91","7,991.04","7,842.72",849.94M,1.75%,,-54.12684254213582,-48.492967421470794,7494.248,,
2026-05-13,"7,844.01","7,513.65","7,855.47","7,402.36",738.74M,2.63%,,-36.0445074838608,-46.0032754339488,7621.26,,
2026-05-12,"7,643.15","7,953.41","7,999.67","7,421.71",1.02B,-2.29%,,-37.48969218197817,-44.30055878355468,7695.558,,
2026-05-11,"7,822.24","7,775.31","7,899.32","7,713.49",731.28M,4.32%,,-23.908344669882354,-40.22211596082021,7756.798,,
2026-05-08,"7,498.00","7,353.94","7,511.01","7,318.96",523.09M,0.11%,,-38.86052716416634,-39.94979820148944,7757.762,,
2026-05-07,"7,490.05","7,499.07","7,531.88","7,257.89",767.46M,1.43%,,-50.766533082320166,-42.11314517765559,7659.490000000001,,
2026-05-06,"7,384.56","7,093.01","7,426.60","7,093.01",995.69M,6.45%,,-67.93122110272725,-47.276760362669926,7567.6,,
2026-05-04,"6,936.99","6,782.93","6,937.00","6,741.63",873.01M,5.12%,,-116.3087832713909,-61.08316494441412,7426.3679999999995,,
2026-04-30,"6,598.87","6,739.39","6,750.27","6,597.83",685.46M,-1.38%,,-179.85851108705174,-84.83823417294164,7181.694,,
2026-04-29,"6,690.90","6,619.00","6,702.38","6,596.03",717.86M,0.75%,32.737285768226,-220.25708973365727,-111.92200528508477,7020.274,,
2026-04-28,"6,641.02","6,646.80","6,712.73","6,621.73",1.14B,0.39%,32.24357133138824,-253.37737682448915,-140.21307959296564,6850.468000000001,,
2026-04-27,"6,615.03","6,533.60","6,657.22","6,529.19",842.66M,2.15%,32.24357133138824,-278.51210458141486,-167.87288459065547,6696.562,,
2026-04-24,"6,475.63","6,496.10","6,516.54","6,403.74",878.20M,0.00%,32.24357133138824,-306.1508559057138,-195.52847885366714,6604.290000000001,,
2026-04-23,"6,475.81","6,488.83","6,557.76","6,309.10",1.04B,0.90%,32.24357133138824,-324.3018906366515,-221.28316121026404,6579.678,,
2026-04-22,"6,417.93","6,387.57","6,423.29","6,318.51",900.14M,0.46%,32.24357133138824,-339.44424672913374,-244.91537831403798,6525.084000000001,7191.0509999999995,
2026-04-21,"6,388.47","6,302.54","6,388.47","6,302.54",792.02M,2.72%,32.24357133138824,-349.78969099841106,-265.8902408509126,6474.5740000000005,7119.695,
2026-04-20,"6,219.09","6,213.92","6,278.36","6,176.75",692.88M,0.44%,32.24357133138824,-367.4206836196572,-286.1963294046616,6395.386,7070.201999999999,
2026-04-17,"6,191.92","6,227.33","6,230.32","6,159.88",689.74M,-0.55%,32.24357133138824,-379.21441648679047,-304.79994682108736,6338.644,7016.214999999999,
2026-04-16,"6,226.05","6,149.49","6,231.03","6,126.06",925.69M,2.21%,32.24357133138824,-381.41036769053517,-320.12203099497697,6288.692,6951.7155,
2026-04-15,"6,091.39","6,141.60","6,183.21","6,064.23",923.85M,2.07%,32.24357133138824,-389.52639364571405,-334.0029035251244,6223.384,6881.625999999999,
2026-04-14,"5,967.75","5,960.00","6,026.52","5,938.33",889.49M,2.74%,32.24357133138824,-401.30907616164495,-347.46413805242855,6139.24,6780.942999999999,
2026-04-13,"5,808.62","5,737.28","5,827.73","5,730.23",1.08B,-0.86%,32.24357133138824,-418.6613308261294,-361.70357660716877,6057.146,6679.1735,
2026-04-10,"5,858.87","5,876.12","5,918.59","5,850.83",1.00B,1.40%,32.24357133138824,-423.4767858387477,-374.0582184534846,5990.536,6589.9595,
2026-04-09,"5,778.01","5,826.45","5,862.41","5,757.49",1.03B,-1.61%,32.24357133138824,-428.87400232055734,-385.0213752268992,5900.928,6487.7480000000005,
2026-04-08,"5,872.34","5,804.70","5,919.60","5,774.00",932.61M,6.87%,32.24357133138824,-420.6902374294323,-392.1551476674058,5857.118,6406.465,
2026-04-07,"5,494.78","5,552.19","5,594.90","5,424.46",990.45M,0.82%,32.24357133138824,-439.60301151838576,-401.6447204376018,5762.523999999999,6306.7015,
2026-04-06,"5,450.33","5,423.35","5,505.61","5,404.91",1.11B,1.36%,32.24357133138824,-452.9568600323146,-411.9071483565444,5690.866,6209.99,
2026-04-03,"5,377.30","5,375.50","5,419.45","5,316.42",1.19B,2.74%,32.24357133138824,-464.08313040610665,-422.34234476645685,5594.552000000001,6132.0055,
2026-04-02,"5,234.05","5,551.69","5,574.62","5,170.27",1.43B,-4.47%,32.24357133138824,-478.93894758892293,-433.6616653309501,5485.76,6063.7645,
2026-04-01,"5,478.70","5,330.04","5,512.33","5,272.45",958.95M,8.44%,32.24357133138824,-465.60388757444616,-440.05010977964935,5407.032,6003.1545,
2026-03-31,"5,052.46","5,143.75","5,233.99","5,042.99",1.16B,-4.26%,32.24357133138824,-483.85221505513437,-448.8105308347464,5318.568,5923.7265,
2026-03-30,"5,277.30","5,181.80","5,297.35","5,151.22",727.39M,-2.97%,32.24357133138824,-474.6993979524814,-453.9883042582934,5283.962,5856.84,
2026-03-27,"5,438.87","5,300.61","5,462.51","5,220.10",900.08M,-0.40%,32.24357133138824,-449.2299327244473,-453.0366299515242,5296.276,5805.002,
2026-03-26,"5,460.46","5,594.06","5,598.37","5,448.12",925.09M,-3.22%,32.24357133138824,-422.4335148651671,-446.9160069342528,5341.558,5754.2345000000005,
2026-03-25,"5,642.21","5,680.33","5,740.97","5,630.07",763.22M,1.59%,32.24357133138824,-382.12653774048795,-433.9581130954998,5374.26,5715.4485,
2026-03-24,"5,553.92","5,638.20","5,643.00","5,395.17",1.17B,2.74%,32.24357133138824,-353.235355802457,-417.8135616368913,5474.552000000001,5673.721,
2026-03-23,"5,405.75","5,580.15","5,580.15","5,397.94",1.13B,-6.49%,32.24357133138824,-338.39416931764663,-401.9296831730424,5500.242,5633.054,
2026-03-20,"5,781.20","5,813.35","5,833.68","5,764.64",1.49B,0.31%,32.24357133138824,-292.9596879484352,-380.135684128121,5568.708,5612.518,
2026-03-19,"5,763.22","5,761.40","5,863.39","5,738.95",1.18B,-2.73%,32.24357133138824,-255.45860211274703,-355.2002677250462,5629.26,5589.3765,
2026-03-18,"5,925.03","5,767.10","5,934.35","5,766.14",1.14B,5.04%,32.24357133138824,-210.25828013763112,-326.2118702075632,5685.824,5581.0585,
2026-03-17,"5,640.48","5,711.80","5,717.13","5,632.86",1.14B,1.63%,32.24357133138824,-195.14796200741057,-299.9990885675327,5703.1359999999995,5564.695,
2026-03-16,"5,549.85","5,510.82","5,561.42","5,448.75",1.07B,1.14%,32.24357133138824,-188.31522886256698,-277.66231662653956,5731.956,5551.7565,
2026-03-13,"5,487.24","5,412.39","5,537.59","5,392.52",907.66M,-1.72%,32.24357133138824,-185.81043532899912,-259.2919403670315,5673.164,5533.175,
2026-03-12,"5,583.25","5,567.65","5,629.07","5,527.47",801.31M,-0.48%,32.24357133138824,-174.0715750354184,-242.2478673007089,5637.17,5523.437,
