"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 05- 21","7,815.59","7,486.37","7,819.23","7,486.37","616.36M","8.42%"
"2026- 05- 20","7,208.95","7,324.52","7,324.52","7,053.84","492.49M","-0.86%"
"2026- 05- 19","7,271.66","7,425.66","7,446.57","7,141.91","533.51M","-3.25%"
"2026- 05- 18","7,516.04","7,443.29","7,636.20","7,142.71","566.62M","0.31%"
"2026- 05- 15","7,493.18","7,951.75","8,046.78","7,371.68","885.63M","-6.12%"
"2026- 05- 14","7,981.41","7,873.91","7,991.04","7,842.72","849.94M","1.75%"
"2026- 05- 13","7,844.01","7,513.65","7,855.47","7,402.36","738.74M","2.63%"
"2026- 05- 12","7,643.15","7,953.41","7,999.67","7,421.71","1.02B","-2.29%"
"2026- 05- 11","7,822.24","7,775.31","7,899.32","7,713.49","731.28M","4.32%"
"2026- 05- 08","7,498.00","7,353.94","7,511.01","7,318.96","523.09M","0.11%"
"2026- 05- 07","7,490.05","7,499.07","7,531.88","7,257.89","767.46M","1.43%"
"2026- 05- 06","7,384.56","7,093.01","7,426.60","7,093.01","995.69M","6.45%"
"2026- 05- 04","6,936.99","6,782.93","6,937.00","6,741.63","873.01M","5.12%"
"2026- 04- 30","6,598.87","6,739.39","6,750.27","6,597.83","685.46M","-1.38%"
"2026- 04- 29","6,690.90","6,619.00","6,702.38","6,596.03","717.86M","0.75%"
"2026- 04- 28","6,641.02","6,646.80","6,712.73","6,621.73","1.14B","0.39%"
"2026- 04- 27","6,615.03","6,533.60","6,657.22","6,529.19","842.66M","2.15%"
"2026- 04- 24","6,475.63","6,496.10","6,516.54","6,403.74","878.20M","0.00%"
"2026- 04- 23","6,475.81","6,488.83","6,557.76","6,309.10","1.04B","0.90%"
"2026- 04- 22","6,417.93","6,387.57","6,423.29","6,318.51","900.14M","0.46%"
"2026- 04- 21","6,388.47","6,302.54","6,388.47","6,302.54","792.02M","2.72%"
"2026- 04- 20","6,219.09","6,213.92","6,278.36","6,176.75","692.88M","0.44%"
"2026- 04- 17","6,191.92","6,227.33","6,230.32","6,159.88","689.74M","-0.55%"
"2026- 04- 16","6,226.05","6,149.49","6,231.03","6,126.06","925.69M","2.21%"
"2026- 04- 15","6,091.39","6,141.60","6,183.21","6,064.23","923.85M","2.07%"
"2026- 04- 14","5,967.75","5,960.00","6,026.52","5,938.33","889.49M","2.74%"
"2026- 04- 13","5,808.62","5,737.28","5,827.73","5,730.23","1.08B","-0.86%"
"2026- 04- 10","5,858.87","5,876.12","5,918.59","5,850.83","1.00B","1.40%"
"2026- 04- 09","5,778.01","5,826.45","5,862.41","5,757.49","1.03B","-1.61%"
"2026- 04- 08","5,872.34","5,804.70","5,919.60","5,774.00","932.61M","6.87%"
"2026- 04- 07","5,494.78","5,552.19","5,594.90","5,424.46","990.45M","0.82%"
"2026- 04- 06","5,450.33","5,423.35","5,505.61","5,404.91","1.11B","1.36%"
"2026- 04- 03","5,377.30","5,375.50","5,419.45","5,316.42","1.19B","2.74%"
"2026- 04- 02","5,234.05","5,551.69","5,574.62","5,170.27","1.43B","-4.47%"
"2026- 04- 01","5,478.70","5,330.04","5,512.33","5,272.45","958.95M","8.44%"
"2026- 03- 31","5,052.46","5,143.75","5,233.99","5,042.99","1.16B","-4.26%"
"2026- 03- 30","5,277.30","5,181.80","5,297.35","5,151.22","727.39M","-2.97%"
"2026- 03- 27","5,438.87","5,300.61","5,462.51","5,220.10","900.08M","-0.40%"
"2026- 03- 26","5,460.46","5,594.06","5,598.37","5,448.12","925.09M","-3.22%"
"2026- 03- 25","5,642.21","5,680.33","5,740.97","5,630.07","763.22M","1.59%"
"2026- 03- 24","5,553.92","5,638.20","5,643.00","5,395.17","1.17B","2.74%"
"2026- 03- 23","5,405.75","5,580.15","5,580.15","5,397.94","1.13B","-6.49%"
"2026- 03- 20","5,781.20","5,813.35","5,833.68","5,764.64","1.49B","0.31%"
"2026- 03- 19","5,763.22","5,761.40","5,863.39","5,738.95","1.18B","-2.73%"
"2026- 03- 18","5,925.03","5,767.10","5,934.35","5,766.14","1.14B","5.04%"
